	Kategorier	Tags	Ledige jobs
0	System­ud­vik­lingogpro­gram­me­ring	Solution architect, softwa­re­ud­vik­ler	723
1	Økonomi-ogvirk­som­heds­sy­ste­mer	BI-spe­ci­a­list, Navision, SAP	224
2	IT-ledelse	IT-manager,  IT-pro­jekt­le­der	250
3	IT-driftogsupport	IT-supporter, da­ta­tek­ni­ker, IT-sikkerhed	439
4	InternetogWWW	Web­de­sig­ner, we­b­ud­vik­ler, webmaster	148
5	Tele-ogda­ta­kom­mu­ni­ka­tion	Te­le­tek­ni­ker, fi­ber­tek­ni­ker	38
6	Database	SQL-spe­ci­a­list, data engineer, data analyst	269
7	IT-kurserforledige	Databaser, SAP, ITIL, Web	2
