	Kategorier	Tags	Ledige jobs
0	Pædagog	Pæ­da­gog­med­hjæl­per, bør­ne­ha­ve­klas­se­læ­rer, pædagog	1260
1	Lærer	Fol­ke­sko­le­læ­rer, gym­na­si­e­læ­rer, faglærer	733
2	Bibliotek	Bi­bli­o­te­kar, arkivar, in­for­ma­tions­spe­ci­a­list	17
3	Forskning	Lektor, adjunkt, professor, forsker, ph.d.	258
4	In­sti­tu­tions-ogskole­le­del­se	Skole­le­der, for­stan­der, rektor	246
5	Vok­se­nud­dan­nel­se	Un­der­vi­ser, ud­dan­nel­ses­vej­le­der, stu­di­e­vej­le­der	208
