,År,Antal
0,2007,55956
1,2008,38479
2,2009,10638
3,2010,11894
4,2011,17065
5,2012,19665
6,2013,19015
7,2014,21211
8,2015,24851
9,2016,28626
10,2017,29378
11,2018,31385
12,2019,28915
13,2020,28714
14,2021,44943
15,2022,49820
