,År,Antal
0,2007,51512
1,2008,45820
2,2009,31130
3,2010,22067
4,2011,23804
5,2012,32722
6,2013,35073
7,2014,40460
8,2015,41590
9,2016,43602
10,2017,44783
11,2018,48852
12,2019,46550
13,2020,50101
14,2021,63716
15,2022,61013
