,År,Antal
0,2007,28461
1,2008,22883
2,2009,12595
3,2010,17153
4,2011,20368
5,2012,24688
6,2013,21138
7,2014,24634
8,2015,38119
9,2016,25577
10,2017,24414
11,2018,25438
12,2019,24231
13,2020,22214
14,2021,28931
15,2022,27245
