,År,Antal
0,2007,38965
1,2008,36417
2,2009,24913
3,2010,18900
4,2011,15353
5,2012,21496
6,2013,22895
7,2014,29782
8,2015,36793
9,2016,29372
10,2017,29150
11,2018,30944
12,2019,30643
13,2020,35770
14,2021,45714
15,2022,48076
