,År,Antal
0,2007,34448
1,2008,30601
2,2009,17602
3,2010,20183
4,2011,21872
5,2012,27024
6,2013,26177
7,2014,30592
8,2015,40723
9,2016,35015
10,2017,33905
11,2018,35154
12,2019,34104
13,2020,31830
14,2021,44072
15,2022,46584
