,År,Antal
0,2007,60209
1,2008,48403
2,2009,25971
3,2010,24762
4,2011,24091
5,2012,26564
6,2013,24793
7,2014,26189
8,2015,29162
9,2016,33608
10,2017,31746
11,2018,35063
12,2019,34529
13,2020,29820
14,2021,50291
15,2022,51741
