,År,Antal
0,2007,36386
1,2008,29851
2,2009,20183
3,2010,26838
4,2011,34940
5,2012,38053
6,2013,38297
7,2014,40610
8,2015,45903
9,2016,40105
10,2017,41884
11,2018,49777
12,2019,49776
13,2020,45796
14,2021,58701
15,2022,57980
