,År,Antal
0,2007,"    Antal
0  129320"
1,2008,"    Antal
0  105074"
2,2009,"   Antal
0  56124"
3,2010,"   Antal
0  59462"
4,2011,"   Antal
0  70706"
5,2012,"   Antal
0  74243"
6,2013,"   Antal
0  77968"
7,2014,"    Antal
0  100016"
8,2015,"    Antal
0  105402"
9,2016,"    Antal
0  105139"
10,2017,"    Antal
0  104161"
11,2018,"    Antal
0  116333"
12,2019,"    Antal
0  110233"
13,2020,"    Antal
0  102882"
14,2021,"    Antal
0  132015"
15,2022,"    Antal
0  137673"
