,År,Antal
0,2007,17084
1,2008,16509
2,2009,7144
3,2010,10054
4,2011,12355
5,2012,16505
6,2013,16713
7,2014,16706
8,2015,21100
9,2016,19037
10,2017,19711
11,2018,21650
12,2019,20989
13,2020,20723
14,2021,25562
15,2022,25738
