,År,Antal
0,2007,29356
1,2008,22482
2,2009,9877
3,2010,14257
4,2011,18786
5,2012,21898
6,2013,18638
7,2014,21859
8,2015,25307
9,2016,22468
10,2017,22924
11,2018,23102
12,2019,21111
13,2020,20910
14,2021,29345
15,2022,31347
