,År,Antal
0,2007,66053
1,2008,55053
2,2009,25457
3,2010,27551
4,2011,29769
5,2012,33266
6,2013,32164
7,2014,38866
8,2015,48835
9,2016,45525
10,2017,44819
11,2018,48468
12,2019,45836
13,2020,42524
14,2021,60547
15,2022,65079
