	Områder	Antal efter område
0	Stor­kø­ben­havn	71
1	Nord­s­jæl­land	14
2	RegionSjælland	38
3	Fyn	26
4	RegionNord­jyl­land	18
5	RegionMidtjyl­land	38
6	Syd­jyl­land	34
7	Bornholm	4
8	Skåne	14
9	Grønland	6
10	Færøerne	0
11	Udlandet	10
12	Danmark	225
