	Områder	Antal efter område
0	Stor­kø­ben­havn	85
1	Nord­s­jæl­land	36
2	RegionSjælland	45
3	Fyn	43
4	RegionNord­jyl­land	75
5	RegionMidtjyl­land	112
6	Syd­jyl­land	67
7	Bornholm	4
8	Skåne	1
9	Grønland	0
10	Færøerne	0
11	Udlandet	2
12	Danmark	398
