	Områder	Antal efter område
0	Stor­kø­ben­havn	112
1	Nord­s­jæl­land	63
2	RegionSjælland	37
3	Fyn	33
4	RegionNord­jyl­land	35
5	RegionMidtjyl­land	126
6	Syd­jyl­land	77
7	Bornholm	0
8	Skåne	17
9	Grønland	2
10	Færøerne	0
11	Udlandet	20
12	Danmark	378
