	Områder	Antal efter område
0	Stor­kø­ben­havn	12
1	Nord­s­jæl­land	7
2	RegionSjælland	2
3	Fyn	3
4	RegionNord­jyl­land	7
5	RegionMidtjyl­land	8
6	Syd­jyl­land	3
7	Bornholm	1
8	Skåne	0
9	Grønland	0
10	Færøerne	0
11	Udlandet	0
12	Danmark	36
