	Områder	Antal efter område
0	Stor­kø­ben­havn	57
1	Nord­s­jæl­land	10
2	RegionSjælland	27
3	Fyn	19
4	RegionNord­jyl­land	18
5	RegionMidtjyl­land	54
6	Syd­jyl­land	19
7	Bornholm	4
8	Skåne	44
9	Grønland	3
10	Færøerne	10
11	Udlandet	16
12	Danmark	202
