	Områder	Antal efter område
0	Stor­kø­ben­havn	59
1	Nord­s­jæl­land	31
2	RegionSjælland	29
3	Fyn	23
4	RegionNord­jyl­land	20
5	RegionMidtjyl­land	57
6	Syd­jyl­land	46
7	Bornholm	0
8	Skåne	1
9	Grønland	2
10	Færøerne	0
11	Udlandet	4
12	Danmark	212
