	Områder	Antal efter område
0	Stor­kø­ben­havn	48
1	Nord­s­jæl­land	7
2	RegionSjælland	13
3	Fyn	14
4	RegionNord­jyl­land	12
5	RegionMidtjyl­land	44
6	Syd­jyl­land	20
7	Bornholm	0
8	Skåne	0
9	Grønland	0
10	Færøerne	0
11	Udlandet	0
12	Danmark	153
