	Områder	Antal efter område
0	Stor­kø­ben­havn	234
1	Nord­s­jæl­land	140
2	RegionSjælland	146
3	Fyn	65
4	RegionNord­jyl­land	76
5	RegionMidtjyl­land	128
6	Syd­jyl­land	101
7	Bornholm	4
8	Skåne	69
9	Grønland	14
10	Færøerne	0
11	Udlandet	14
12	Danmark	848
