	Områder	Antal efter område
0	Stor­kø­ben­havn	330
1	Nord­s­jæl­land	37
2	RegionSjælland	30
3	Fyn	26
4	RegionNord­jyl­land	18
5	RegionMidtjyl­land	60
6	Syd­jyl­land	28
7	Bornholm	0
8	Skåne	13
9	Grønland	10
10	Færøerne	0
11	Udlandet	17
12	Danmark	483
