	Områder	Antal efter område
0	Stor­kø­ben­havn	82
1	Nord­s­jæl­land	18
2	RegionSjælland	7
3	Fyn	13
4	RegionNord­jyl­land	7
5	RegionMidtjyl­land	16
6	Syd­jyl­land	15
7	Bornholm	0
8	Skåne	4
9	Grønland	1
10	Færøerne	0
11	Udlandet	1
12	Danmark	148
