	Områder	Antal efter område
0	Stor­kø­ben­havn	56
1	Nord­s­jæl­land	13
2	RegionSjælland	23
3	Fyn	15
4	RegionNord­jyl­land	11
5	RegionMidtjyl­land	28
6	Syd­jyl­land	15
7	Bornholm	0
8	Skåne	5
9	Grønland	5
10	Færøerne	0
11	Udlandet	6
12	Danmark	143
