	Områder	Antal efter område
0	Stor­kø­ben­havn	70
1	Nord­s­jæl­land	9
2	RegionSjælland	19
3	Fyn	11
4	RegionNord­jyl­land	9
5	RegionMidtjyl­land	31
6	Syd­jyl­land	11
7	Bornholm	1
8	Skåne	2
9	Grønland	0
10	Færøerne	0
11	Udlandet	0
12	Danmark	152
