	Områder	Antal efter område
0	Stor­kø­ben­havn	30
1	Nord­s­jæl­land	2
2	RegionSjælland	5
3	Fyn	3
4	RegionNord­jyl­land	3
5	RegionMidtjyl­land	10
6	Syd­jyl­land	4
7	Bornholm	0
8	Skåne	1
9	Grønland	0
10	Færøerne	1
11	Udlandet	2
12	Danmark	54
