	Områder	Antal efter område
0	Stor­kø­ben­havn	73
1	Nord­s­jæl­land	32
2	RegionSjælland	42
3	Fyn	21
4	RegionNord­jyl­land	15
5	RegionMidtjyl­land	46
6	Syd­jyl­land	25
7	Bornholm	2
8	Skåne	6
9	Grønland	9
10	Færøerne	0
11	Udlandet	9
12	Danmark	245
