	Områder	Antal efter område
0	Stor­kø­ben­havn	29
1	Nord­s­jæl­land	9
2	RegionSjælland	12
3	Fyn	6
4	RegionNord­jyl­land	15
5	RegionMidtjyl­land	27
6	Syd­jyl­land	20
7	Bornholm	2
8	Skåne	2
9	Grønland	0
10	Færøerne	0
11	Udlandet	0
12	Danmark	113
