	Områder	Antal efter område
0	Stor­kø­ben­havn	4
1	Nord­s­jæl­land	1
2	RegionSjælland	2
3	Fyn	2
4	RegionNord­jyl­land	2
5	RegionMidtjyl­land	5
6	Syd­jyl­land	4
7	Bornholm	0
8	Skåne	8
9	Grønland	0
10	Færøerne	0
11	Udlandet	1
12	Danmark	14
