	Områder	Antal efter område
0	Stor­kø­ben­havn	87
1	Nord­s­jæl­land	25
2	RegionSjælland	28
3	Fyn	9
4	RegionNord­jyl­land	15
5	RegionMidtjyl­land	28
6	Syd­jyl­land	26
7	Bornholm	2
8	Skåne	25
9	Grønland	6
10	Færøerne	0
11	Udlandet	6
12	Danmark	195
