	Områder	Antal efter område
0	Stor­kø­ben­havn	45
1	Nord­s­jæl­land	15
2	RegionSjælland	26
3	Fyn	9
4	RegionNord­jyl­land	14
5	RegionMidtjyl­land	31
6	Syd­jyl­land	25
7	Bornholm	2
8	Skåne	3
9	Grønland	3
10	Færøerne	0
11	Udlandet	5
12	Danmark	134
