	Områder	Antal efter område
0	Stor­kø­ben­havn	23
1	Nord­s­jæl­land	13
2	RegionSjælland	6
3	Fyn	4
4	RegionNord­jyl­land	2
5	RegionMidtjyl­land	9
6	Syd­jyl­land	15
7	Bornholm	0
8	Skåne	0
9	Grønland	0
10	Færøerne	0
11	Udlandet	2
12	Danmark	65
