	Områder	Antal efter område
0	Stor­kø­ben­havn	141
1	Nord­s­jæl­land	25
2	RegionSjælland	16
3	Fyn	15
4	RegionNord­jyl­land	15
5	RegionMidtjyl­land	43
6	Syd­jyl­land	40
7	Bornholm	0
8	Skåne	16
9	Grønland	4
10	Færøerne	0
11	Udlandet	18
12	Danmark	273
