	Områder	Antal efter område
0	Stor­kø­ben­havn	135
1	Nord­s­jæl­land	19
2	RegionSjælland	7
3	Fyn	10
4	RegionNord­jyl­land	20
5	RegionMidtjyl­land	70
6	Syd­jyl­land	38
7	Bornholm	0
8	Skåne	0
9	Grønland	3
10	Færøerne	0
11	Udlandet	6
12	Danmark	245
