	Områder	Antal efter område
0	Stor­kø­ben­havn	93
1	Nord­s­jæl­land	29
2	RegionSjælland	37
3	Fyn	23
4	RegionNord­jyl­land	25
5	RegionMidtjyl­land	81
6	Syd­jyl­land	51
7	Bornholm	0
8	Skåne	11
9	Grønland	3
10	Færøerne	0
11	Udlandet	14
12	Danmark	299
