	Områder	Antal efter område
0	Stor­kø­ben­havn	73
1	Nord­s­jæl­land	15
2	RegionSjælland	20
3	Fyn	10
4	RegionNord­jyl­land	13
5	RegionMidtjyl­land	54
6	Syd­jyl­land	39
7	Bornholm	0
8	Skåne	3
9	Grønland	2
10	Færøerne	0
11	Udlandet	6
12	Danmark	191
