	Områder	Antal efter område
0	Stor­kø­ben­havn	27
1	Nord­s­jæl­land	8
2	RegionSjælland	11
3	Fyn	6
4	RegionNord­jyl­land	3
5	RegionMidtjyl­land	16
6	Syd­jyl­land	3
7	Bornholm	0
8	Skåne	17
9	Grønland	1
10	Færøerne	0
11	Udlandet	1
12	Danmark	71
