	Områder	Antal efter område
0	Stor­kø­ben­havn	22
1	Nord­s­jæl­land	9
2	RegionSjælland	7
3	Fyn	8
4	RegionNord­jyl­land	8
5	RegionMidtjyl­land	27
6	Syd­jyl­land	15
7	Bornholm	0
8	Skåne	2
9	Grønland	0
10	Færøerne	0
11	Udlandet	4
12	Danmark	67
