	Områder	Antal efter område
0	Stor­kø­ben­havn	62
1	Nord­s­jæl­land	12
2	RegionSjælland	4
3	Fyn	7
4	RegionNord­jyl­land	6
5	RegionMidtjyl­land	39
6	Syd­jyl­land	18
7	Bornholm	0
8	Skåne	3
9	Grønland	0
10	Færøerne	0
11	Udlandet	7
12	Danmark	127
