	Områder	Antal efter område
0	Stor­kø­ben­havn	288
1	Nord­s­jæl­land	52
2	RegionSjælland	45
3	Fyn	42
4	RegionNord­jyl­land	58
5	RegionMidtjyl­land	161
6	Syd­jyl­land	80
7	Bornholm	0
8	Skåne	31
9	Grønland	4
10	Færøerne	0
11	Udlandet	33
12	Danmark	643
