	Områder	Antal efter område
0	Stor­kø­ben­havn	132
1	Nord­s­jæl­land	34
2	RegionSjælland	45
3	Fyn	17
4	RegionNord­jyl­land	19
5	RegionMidtjyl­land	62
6	Syd­jyl­land	30
7	Bornholm	0
8	Skåne	2
9	Grønland	3
10	Færøerne	1
11	Udlandet	4
12	Danmark	312
