	Områder	Antal efter område
0	Stor­kø­ben­havn	8
1	Nord­s­jæl­land	3
2	RegionSjælland	1
3	Fyn	0
4	RegionNord­jyl­land	4
5	RegionMidtjyl­land	2
6	Syd­jyl­land	0
7	Bornholm	1
8	Skåne	5
9	Grønland	0
10	Færøerne	0
11	Udlandet	0
12	Danmark	19
