	Områder	Antal efter område
0	Stor­kø­ben­havn	386
1	Nord­s­jæl­land	75
2	RegionSjælland	29
3	Fyn	27
4	RegionNord­jyl­land	41
5	RegionMidtjyl­land	214
6	Syd­jyl­land	89
7	Bornholm	0
8	Skåne	39
9	Grønland	0
10	Færøerne	0
11	Udlandet	24
12	Danmark	714
