	Områder	Antal efter område
0	Stor­kø­ben­havn	157
1	Nord­s­jæl­land	67
2	RegionSjælland	89
3	Fyn	68
4	RegionNord­jyl­land	75
5	RegionMidtjyl­land	189
6	Syd­jyl­land	152
7	Bornholm	1
8	Skåne	16
9	Grønland	9
10	Færøerne	0
11	Udlandet	13
12	Danmark	629
