	Områder	Antal efter område
0	Stor­kø­ben­havn	35
1	Nord­s­jæl­land	10
2	RegionSjælland	18
3	Fyn	14
4	RegionNord­jyl­land	7
5	RegionMidtjyl­land	30
6	Syd­jyl­land	18
7	Bornholm	0
8	Skåne	0
9	Grønland	3
10	Færøerne	0
11	Udlandet	3
12	Danmark	110
