	Områder	Antal efter område
0	Stor­kø­ben­havn	157
1	Nord­s­jæl­land	52
2	RegionSjælland	33
3	Fyn	15
4	RegionNord­jyl­land	10
5	RegionMidtjyl­land	37
6	Syd­jyl­land	28
7	Bornholm	0
8	Skåne	7
9	Grønland	1
10	Færøerne	1
11	Udlandet	14
12	Danmark	302
