	Områder	Antal efter område
0	Stor­kø­ben­havn	168
1	Nord­s­jæl­land	85
2	RegionSjælland	39
3	Fyn	22
4	RegionNord­jyl­land	12
5	RegionMidtjyl­land	46
6	Syd­jyl­land	40
7	Bornholm	0
8	Skåne	9
9	Grønland	2
10	Færøerne	0
11	Udlandet	9
12	Danmark	353
