	Områder	Antal efter område
0	Stor­kø­ben­havn	46
1	Nord­s­jæl­land	30
2	RegionSjælland	41
3	Fyn	38
4	RegionNord­jyl­land	34
5	RegionMidtjyl­land	130
6	Syd­jyl­land	77
7	Bornholm	0
8	Skåne	30
9	Grønland	3
10	Færøerne	0
11	Udlandet	6
12	Danmark	384
