	Områder	Antal efter område
0	Stor­kø­ben­havn	105
1	Nord­s­jæl­land	41
2	RegionSjælland	47
3	Fyn	35
4	RegionNord­jyl­land	38
5	RegionMidtjyl­land	89
6	Syd­jyl­land	41
7	Bornholm	2
8	Skåne	10
9	Grønland	2
10	Færøerne	0
11	Udlandet	2
12	Danmark	373
