	Områder	Antal efter område
0	Stor­kø­ben­havn	13
1	Nord­s­jæl­land	4
2	RegionSjælland	5
3	Fyn	6
4	RegionNord­jyl­land	6
5	RegionMidtjyl­land	7
6	Syd­jyl­land	5
7	Bornholm	1
8	Skåne	2
9	Grønland	0
10	Færøerne	1
11	Udlandet	1
12	Danmark	35
