	Områder	Antal efter område
0	Stor­kø­ben­havn	157
1	Nord­s­jæl­land	74
2	RegionSjælland	67
3	Fyn	48
4	RegionNord­jyl­land	46
5	RegionMidtjyl­land	148
6	Syd­jyl­land	104
7	Bornholm	0
8	Skåne	14
9	Grønland	2
10	Færøerne	0
11	Udlandet	19
12	Danmark	571
