,År,Antal
0,2007,6.801855
1,2008,6.604079
2,2009,6.789391
3,2010,8.857321
4,2011,9.325879
5,2012,9.427183
6,2013,8.292566
7,2014,8.46794
8,2015,10.817491
9,2016,7.92017
10,2017,7.565213
11,2018,7.27147
12,2019,7.196956
13,2020,6.764271
14,2021,6.403185
15,2022,5.863894
