,År,Antal
0,2007,15.785914
1,2008,15.888403
2,2009,13.72271
3,2010,14.226553
4,2011,13.630307
5,2012,12.702716
6,2013,12.618133
7,2014,13.360192
8,2015,13.858501
9,2016,14.097264
10,2017,13.888149
11,2018,13.854611
12,2019,13.613953
13,2020,12.948764
14,2021,13.400631
15,2022,14.00684
