,År,Antal
0,2007,12.310781
1,2008,13.223742
2,2009,16.780767
3,2010,11.394771
4,2011,10.899118
5,2012,12.494988
6,2013,13.759352
7,2014,13.908129
8,2015,11.802499
9,2016,13.501788
10,2017,13.876993
11,2018,13.964377
12,2019,13.826021
13,2020,15.255997
14,2021,14.102014
15,2022,13.131722
