,År,Antal
0,2007,8.232679
1,2008,8.831508
2,2009,9.488437
3,2010,10.421927
4,2011,10.014514
5,2012,10.319191
6,2013,10.269397
7,2014,10.516003
8,2015,11.55646
9,2016,10.842739
10,2017,10.506207
11,2018,10.048795
12,2019,10.129379
13,2020,9.692389
14,2021,9.754284
15,2022,10.026193
