,År,Antal
0,2007,13.372846
1,2008,11.105115
2,2009,5.734462
3,2010,6.141723
4,2011,7.813537
5,2012,7.509136
6,2013,7.4597
7,2014,7.291284
8,2015,7.05227
9,2016,8.864323
10,2017,9.103417
11,2018,8.971424
12,2019,8.588172
13,2020,8.743552
14,2021,9.947059
15,2022,10.722672
