,Navn,Procent
0,Øvrige stillinger,13.959691862403705
1,Social og sundhed,13.908129346290421
2,Kontor og økonomi,13.360191675059898
3,Ledelse og personale,10.516003286251028
4,Undervisning,10.237565699239282
5,Handel og service,9.002471563272362
6,Salg og kommunikation,8.467940146231296
7,Ingeniør og teknik,7.5140335981355
8,Industri og håndværk,7.291283528526103
9,Informationsteknologi,5.742689294590404
