,År,Antal
0,2007,6.782529
1,2008,7.24029
2,2009,7.457157
3,2010,7.42167
4,2011,6.566861
5,2012,6.443081
6,2013,6.708947
7,2014,6.34604
8,2015,5.860344
9,2016,7.463904
10,2017,6.883942
11,2018,7.061694
12,2019,6.902511
13,2020,6.839957
14,2021,7.050149
15,2022,7.187412
