,År,Antal
0,2007,6.773903
1,2008,7.186749
2,2009,6.826092
3,2010,6.154886
4,2011,6.280379
5,2012,5.719764
6,2013,6.684243
7,2014,6.326688
8,2015,5.5039
9,2016,6.840736
10,2017,6.849975
11,2018,7.566887
12,2019,7.489803
13,2020,7.757438
14,2021,7.673486
15,2022,7.815298
