,År,Antal
0,2007,0
1,2008,0
2,2009,0
3,2010,0
4,2011,0.118736
5,2012,3.269048
6,2013,0.14238
7,2014,0.082991
8,2015,0.377575
9,2016,0.066412
10,2017,0.084225
11,2018,0.027833
12,2019,0.024498
13,2020,0.015241
14,2021,0.013247
15,2022,0.02347
