,År,Antal
0,2007,6.439001
1,2008,6.376563
2,2009,6.987166
3,2010,6.242716
4,2011,5.994907
5,2012,5.421878
6,2013,5.784148
7,2014,5.980953
8,2015,4.987103
9,2016,5.89136
10,2017,6.229204
11,2018,6.176232
12,2019,6.270525
13,2020,6.601527
14,2021,6.577273
15,2022,6.548155
