,År,Antal
0,2007,13.61022
1,2008,12.501423
2,2009,11.160712
3,2010,11.643161
4,2011,10.938368
5,2012,9.380858
6,2013,9.836375
7,2014,9.790363
8,2015,8.709407
9,2016,10.225318
10,2017,10.460917
11,2018,9.997055
12,2019,10.004833
13,2020,10.41539
14,2021,11.245048
15,2022,11.292742
