,År,Antal
0,2007,20.477743
1,2008,20.541745
2,2009,20.344238
3,2010,20.695324
4,2011,18.506149
5,2012,16.608887
6,2013,18.271403
7,2014,17.464264
8,2015,15.639392
9,2016,19.368436
10,2017,19.734361
11,2018,18.848122
12,2019,18.942674
13,2020,19.942763
14,2021,20.879769
15,2022,20.332598
