,År,Antal
0,2007,9.682985
1,2008,10.141021
2,2009,9.746136
3,2010,7.751598
4,2011,7.750179
5,2012,7.541751
6,2013,8.472757
7,2014,8.870016
8,2015,7.60496
9,2016,9.138989
10,2017,9.022848
11,2018,8.850743
12,2019,9.280153
13,2020,9.606625
14,2021,9.932143
15,2022,9.545551
